Year,State,Group,Turnout
2020,Connecticut,Young,0.545696652811319
2022,Connecticut,Overall,0.49
2022,Connecticut,Hispanic,0.3472096633462179
2022,Connecticut,Young,0.25103216904163506
2010,Delaware,Overall,0.49
2010,Delaware,Hispanic,0.30698008045176073
2010,Delaware,Young,0.24431605282494054
2012,Delaware,Overall,0.63
2012,Delaware,Hispanic,0.3928597306312177
2012,Delaware,Young,0.4064950280432914
2014,Delaware,Overall,0.35
2014,Delaware,Hispanic,0.1338972339262879
2014,Delaware,Young,0.1258414537561246
2016,Delaware,Overall,0.65
2016,Delaware,Hispanic,0.3769500412359029
2016,Delaware,Young,0.4344707145647506
2018,Delaware,Overall,0.51
2018,Delaware,Hispanic,0.3906587147007763
2018,Delaware,Young,0.30225240698234185
2020,Delaware,Overall,0.68
2020,Delaware,Hispanic,0.5370062465469961
2020,Delaware,Young,0.5384707038289289
2022,Delaware,Overall,0.43
2022,Delaware,Hispanic,0.30224116081311864
2022,Delaware,Young,0.24098613429246232
2010,District of Columbia,Overall,0.29
2010,District of Columbia,Hispanic,0.2175908290155393
2010,District of Columbia,Young,0.19278434878654882
2012,District of Columbia,Overall,0.61
2012,District of Columbia,Hispanic,0.5657852535564107
2012,District of Columbia,Young,0.4932588932132771
2014,District of Columbia,Overall,0.35
2014,District of Columbia,Hispanic,0.32066964898821965
2014,District of Columbia,Young,0.18809768738858068
2016,District of Columbia,Overall,0.6
2016,District of Columbia,Hispanic,0.5378410248008564
2016,District of Columbia,Young,0.5010171884057373
2018,District of Columbia,Overall,0.44
2018,District of Columbia,Hispanic,0.40274515537973876
2018,District of Columbia,Young,0.3878882136883808
2020,District of Columbia,Overall,0.69
2020,District of Columbia,Hispanic,0.6628807750598915
2020,District of Columbia,Young,0.6831636377366824
2022,District of Columbia,Overall,0.41
2022,District of Columbia,Hispanic,0.2889991728669573
2022,District of Columbia,Young,0.3052458680102486
2010,Florida,Overall,0.42
2010,Florida,Hispanic,0.3932093145260633
2010,Florida,Young,0.21972591786038195
2012,Florida,Overall,0.63
2012,Florida,Hispanic,0.6441319144825208
2012,Florida,Young,0.4334388153140729
2014,Florida,Overall,0.43
2014,Florida,Hispanic,0.344954761989583
2014,Florida,Young,0.16894905818333034
2016,Florida,Overall,0.66
2016,Florida,Hispanic,0.6000985976657912
2016,Florida,Young,0.41376560788585576
2018,Florida,Overall,0.54
2018,Florida,Hispanic,0.4542921753612873
2018,Florida,Young,0.30512623459539534
2020,Florida,Overall,0.71
2020,Florida,Hispanic,0.6024790551572162
