Eligible/Voters,Associate's Degree,Bachelor's Degree Or Higher,HS Diploma or Equivalent,Less than HS Diploma,Some College But No Degree
TX Eligible,10.2,21.3,31.900000000000002,9.4,27.200000000000003
TX Voters,9.5,34.9,20.200000000000003,4.1000000000000005,31.4
