year,18-29,30-44,45-59,60+
1982,25,44.4,57.099999999999994,55.7
1986,21.2,39.5,51.300000000000004,54.900000000000006
1990,20.599999999999998,39.7,50.5,54.800000000000004
1994,21.6,40.2,53.800000000000004,58.099999999999994
1998,18.3,36,50.1,56.49999999999999
2002,18.5,36.5,50.9,57.8
2006,20.9,37.1,51.300000000000004,58.5
2010,20.9,37,51.300000000000004,59.9
2014,16.7,30.8,43.3,55.7
2018,32.5,45.6,56.10000000000001,65.4
2022,25.8,40.5,52.7,63.5
