Eligible/Voters,$100-150k,$25-50k,$50-75k,$75-100k,<$25k,>$150k
U.S. Eligible,16.900000000000002,17.9,17.2,14.2,12.7,21.099999999999998
U.S. Voters,19.8,13,16.6,15,8.1,27.6
