Eligible/Voters,$100-150k,$25-50k,$50-75k,$75-100k,<$25k,>$150k
TX Eligible,15.7,22.400000000000002,16.5,15.9,13.100000000000001,16.400000000000002
TX Voters,18.5,14.399999999999999,19.2,17.599999999999998,7.1,23.200000000000003
