year,18-29,30-44,45-59,60+
1982,-42.1,2.7,32,28.9
1986,-46.7,-0.5,28.999999999999996,38.2
1990,-48.3,-0.2,26.700000000000003,37.6
1994,-49.1,-5.3,26.8,36.9
1998,-53.800000000000004,-9.1,26.5,42.9
2002,-54.7,-10.8,24.3,41.099999999999994
2006,-50.5,-11.899999999999999,21.6,38.7
2010,-51.1,-13.5,19.900000000000002,39.900000000000006
2014,-55.50000000000001,-18,15.5,48.4
2018,-36.5,-10.8,9.700000000000001,27.900000000000002
2022,-45.300000000000004,-14.000000000000002,12,34.9
