year,18-29,30-44,45-59,60+
1980,-27.800000000000004,6,19.7,14.399999999999999
1984,-27.800000000000004,3.8,19.6,16.1
1988,-32.9,1.3,20.4,20.4
1992,-26.900000000000002,0.6,15.5,15.5
1996,-36.3,-3.5000000000000004,19.1,25.1
2000,-37.1,-2.1,16.400000000000002,21.7
2004,-26.200000000000003,-2.8000000000000003,12.4,13.5
2008,-22.8,-3.5000000000000004,10.299999999999999,12.6
2012,-30.8,-5.2,11,19.6
2016,-27.800000000000004,-5.800000000000001,9.3,17.599999999999998
2020,-23.200000000000003,-5.4,7.3,15
2024,-25.3,-7.6,8.1,16.5
