year,18-29,30-44,45-59,60+
1980,32.1,52.6,60.6,54.300000000000004
1984,35.5,54.7,65,57.599999999999994
1988,33.2,52.300000000000004,60.5,63.6
1992,35.5,58.8,63.800000000000004,63.6
1996,29.599999999999998,43.4,62.3,60
2000,30.099999999999998,52,58.699999999999996,63.3
2004,37.2,51.6,63.3,65.2
2008,35.8,50.8,63.3,68.60000000000001
2012,25,47.9,58.699999999999996,69.1
2016,34.5,45.4,59.3,64.9
2020,39.5,57.4,68.2,73.6
2024,42.199999999999996,50.9,64.4,68
