Eligible/Voters,Black,White,Latino,AAPI,Other
U.S. Eligible,13.600000000000001,55.00000000000001,21.4,5.3,4.699999999999999
U.S. Voters,11.899999999999999,62.7,15.9,5.4,4.1000000000000005
