year,Black,White,Latino,AAPI,Other
1982,25.7,25.5,16.6,NA,NA
1986,24,21.2,16.3,NA,NA
1990,20.3,21.3,14.399999999999999,20.5,31.400000000000002
1994,18.9,22.8,15.6,19.1,31.5
1998,19.5,18.8,14.099999999999998,13.900000000000002,NA
2002,20.9,19.400000000000002,12.8,14.099999999999998,NA
2006,20.1,22.8,14.2,15,25.1
2010,24.8,21.8,14.6,16,47.2
2014,21,18.099999999999998,10.6,11.1,27.6
2018,33.900000000000006,34.2,26.900000000000002,31.6,54.9
2022,23.200000000000003,29.599999999999998,18.5,23.1,40.2
