year,18-29,30-44,45-59,60+
1982,15.299999999999999,33,45.9,43.9
1986,17.5,33.800000000000004,42,46.300000000000004
1990,17.9,37.7,43.1,51.4
1994,16.6,38,49.2,52.7
1998,10.299999999999999,26.5,40.400000000000006,51.6
2002,12.8,30,45.1,56.00000000000001
2006,12.5,26.700000000000003,37.8,51.2
2010,13.900000000000002,26.8,40.2,53.7
2014,11.3,21.5,37.1,44.6
2018,27.800000000000004,39.7,51.9,65
2022,20.5,35.4,49.8,60.5
