year,18-29,30-44,45-59,60+
1980,40.2,58.9,66.60000000000001,63.6
1984,41,59,68,66
1988,36.5,55.00000000000001,65.4,65.4
1992,43.6,60,68.8,68.8
1996,33.800000000000004,51.300000000000004,63.3,66.5
2000,35.199999999999996,54.7,65.10000000000001,68
2004,45.7,60.199999999999996,69.6,70.3
2008,49,61.3,70,71.5
2012,41.4,56.8,66.4,71.6
2016,44.3,57.8,67,72.1
2020,51.7,63.7,72.2,77.5
2024,48.5,60,70.19999999999999,75.6
