year,18-29,30-44,45-59,60+
1980,-32.4,10.8,27.800000000000004,14.399999999999999
1984,-30.3,7.199999999999999,27.500000000000004,12.9
1988,-33.800000000000004,4.3,20.7,26.900000000000002
1992,-34.4,8.4,17.7,17.299999999999997
1996,-36.4,-6.7,33.900000000000006,28.999999999999996
2000,-39.4,4.9,18.4,27.500000000000004
2004,-30.9,-4.2,17.599999999999998,21.099999999999998
2008,-33.900000000000006,-6.2,17,26.8
2012,-49.6,-3.3000000000000003,18.3,39.5
2016,-32.800000000000004,-11.5,15.6,26.3
2020,-33.900000000000006,-4,14.099999999999998,23.1
2024,-25.3,-10,13.8,20.1
