age,Boomer,Generation X,Millenial,Generation Z
18,20.599999999999998,20.3,22.7,30.4
19,25.3,23,24.7,33.800000000000004
20,30.3,24.8,29.099999999999998,36
21,31.2,26.200000000000003,30.3,37.8
22,30.7,27.500000000000004,33,42.4
23,30.7,28.599999999999998,34,42.199999999999996
24,34.1,30,35.4,38.800000000000004
25,34.300000000000004,31.4,36.5,38.9
