year,Black,White,Latino,AAPI,Other
1982,14.6,16.400000000000002,12,NA,NA
1986,20.200000000000003,17.9,15.4,NA,NA
1990,24,20.200000000000003,10,0,NA
1994,18.8,20.200000000000003,10.100000000000001,5.1,18.6
1998,12.5,12.7,6,0,NA
2002,26.700000000000003,10.9,10,6.800000000000001,NA
2006,24.2,11.899999999999999,10.6,2,23.9
2010,21.8,16,9.6,11.1,NA
2014,15.7,14.399999999999999,6.9,9.1,35.9
2018,23.7,33.1,23.7,26.3,137.5
2022,19,24.8,16.2,31.7,0
