year,Black,White,Latino,AAPI,Other
1980,31.5,42.8,23.5,NA,NA
1984,41.5,42.1,28.199999999999996,NA,NA
1988,33,38.1,26.3,NA,NA
1992,37.8,46.5,31,28.9,75.7
1996,34.1,35.3,23.599999999999998,31.5,NA
2000,37.7,36.9,24.9,29.5,NA
2004,50.1,48.3,31.7,32.300000000000004,74.80000000000001
2008,60,49.7,36.9,44.6,77.8
2012,52.7,42.4,32.2,35.4,66.30000000000001
2016,45.7,47.5,35.8,38.3,61.599999999999994
2020,49,56.2,41.699999999999996,56.3,80.4
2024,42.5,55.300000000000004,36,49.2,73.9
