Eligible/Voters,Associate's Degree,Bachelor's Degree Or Higher,HS Diploma or Equivalent,Less than HS Diploma,Some College But No Degree
U.S. Eligible,8,23.400000000000002,35.6,8.9,24.099999999999998
U.S. Voters,9.3,35.4,25,4.3999999999999995,25.900000000000002
