YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2014,Louisiana,LA,"1,503,975","1,472,039","3,536,724",0.03,"37,881","40,979","29,619","90,448","3,347,248",0.45,0.43
2014,Maine,ME,"616,996","611,255","1,071,220",0.02,0,0,0,0,"1,053,009",0.59,0.58
2014,Maryland,MD,"1,745,104","1,733,177","4,620,229",0.09,20388,79539,11537,"76,467","4,141,802",0.42,0.38
2014,Massachusetts,MA,"2,186,789","2,158,326","5,382,729",0.09,"10,014",0,0,"10,014","4,904,417",0.45,0.41
2014,Michigan,MI,"3,188,956","3,156,531","7,707,406",0.04,"42,900",0,0,"42,900","7,387,039",0.43,0.41
2014,Minnesota,MN,"1,992,613","1,981,511","4,177,839",0.05,"10,003","97,661","6,642","71,335","3,918,501",0.51,0.48
2014,Mississippi,MS,"631,858","631,858","2,260,078",0.02,"18,756","34,398","9,883","47,902","2,173,754",0.29,0.28
2014,Missouri,MO,"1,509,025","1,426,303","4,669,356",0.03,"31,432","47,303","18,495","76,417","4,476,205",0.34,0.32
2014,Montana,MT,"373,831","369,826","798,918",0.01,"3,681",0,0,"3,681","786,449",0.48,0.47
2014,Nebraska,NE,"552,115","539,891","1,414,871",0.05,"5,221","12,940",1067,"13,534","1,329,179",0.42,0.39
2014,Nevada,NV,"552,546","547,349","2,171,523",0.13,"12,537",12027,5927,"25,199","1,874,884",0.29,0.25
2014,New Hampshire,NH,"495,565","488,159","1,067,564",0.03,"2,867",0,0,"2,867","1,031,603",0.48,0.46
2014,New Jersey,NJ,"1,955,042","1,869,535","6,872,067",0.12,"20,255",115898,14889,"100,047","5,954,244",0.33,0.28
2014,New Mexico,NM,"519,436","512,805","1,587,274",0.07,"6,879","16,060","2,255","18,128","1,451,687",0.36,0.33
2014,New York,NY,"3,930,310","3,819,010","15,453,917",0.12,"48,376",0,44889,"93,265","13,490,728",0.29,0.25
2014,North Carolina,NC,"2,939,767","2,915,281","7,681,181",0.06,"35,726",90918,10025,"96,665","7,131,326",0.41,0.38
2014,North Dakota,ND,"255,128","248,670","572,498",0.02,"1,700",0,0,"1,700","558,203",0.46,0.45
2014,Ohio,OH,"3,149,876","3,055,913","8,968,923",0.02,"51,024",0,0,"51,024","8,702,645",0.36,0.35
2014,Oklahoma,OK,"825,607","824,831","2,931,636",0.05,"27,650","28,568","2,560","46,208","2,750,573",0.30,0.28
2014,Oregon,OR,"1,541,782","1,469,717","3,119,674",0.07,"15,075",0,0,"15,075","2,895,581",0.53,0.49
2014,Pennsylvania,PA,"3,535,576","3,495,866","10,088,426",0.04,"49,643",0,0,"49,643","9,685,688",0.37,0.35
2014,Rhode Island,RI,"329,212","324,055","844,183",0.07,"3,294",0,0,"3,294","779,264",0.42,0.39
2014,South Carolina,SC,"1,261,611","1,246,301","3,760,446",0.03,"20,917","35,096","5,225","45,796","3,586,795",0.35,0.34
2014,South Dakota,SD,"282,291","279,412","640,486",0.02,"3,528",0,"2,611","6,139","620,256",0.46,0.44
2014,Tennessee,TN,"1,430,117","1,374,065","5,061,487",0.04,"28,495","62,950","13,498","77,245","4,807,090",0.30,0.28
2014,Texas,TX,"4,727,208","4,727,208","19,958,796",0.13,"157,361","388,101","111,412","486,110","16,818,166",0.28,0.24
2014,Utah,UT,"577,973","565,970","2,045,779",0.07,"6,824",0,0,"6,824","1,899,842",0.30,0.28
2014,Vermont,VT,"202,445","193,087","504,200",0.02,0,0,0,0,"493,107",0.41,0.40
2014,Virginia,VA,"2,194,346","2,184,473","6,462,450",0.07,"36,943","54,966","1,732","69,456","5,947,085",0.37,0.34
2014,Washington,WA,"2,124,330","2,029,189","5,485,062",0.08,"17,345","94,112","9,880","79,928","4,944,389",0.43,0.39
2014,West Virginia,WV,"462,864","451,498","1,467,174",0.01,"6,873","7,174","2,749","13,639","1,440,331",0.32,0.32
2014,Wisconsin,WI,"2,422,248","2,410,314","4,454,913",0.03,"22,097","46,212","20,010","67,986","4,248,825",0.57,0.54
2014,Wyoming,WY,"171,153","168,390","444,797",0.03,"2,330","5,196",715,"5,955","426,832",0.40,0.38
2012,Alabama,AL,2083309,2074338,3705982,0.03,32232,57993,8616,71584,3538042,0.59,0.56
2012,Alaska,AK,301694,300495,544269,0.04,5633,7173,1882,11317,512270,0.59,0.55
2012,Arizona,AZ,2323579,2306559,4963741,0.10,35188,72452,7460,81048,4391282,0.53,0.47
2012,Arkansas,AR,1078548,1069468,2244163,0.04,14471,30122,23372,53808,2111810,0.51,0.48
2012,California,CA,13202158,13038547,28871296,0.17,119455,0,89287,208742,23638949,0.56,0.46
2012,Colorado,CO,2596173,2569522,3980623,0.07,18807,0,11458,30265,3675695,0.71,0.65
2012,Connecticut,CT,1560640,1558960,2804156,0.09,16935,0,2793,19728,2546075,0.61,0.56
2012,Delaware,DE,417631,413921,714081,0.05,6610,15641,601,15501,662162,0.63,0.58
2012,District of Columbia,DC,294254,293764,531080,0.10,0,0,0,0,479566,0.61,0.55
2012,Florida,FL,8538264,8474179,15367936,0.11,91954,240869,4538,224153,13484046,0.63,0.56
2012,Georgia,GA,3919355,3900050,7441387,0.07,52737,442061,24761,311790,6593817,0.59,0.53
2012,Hawaii,HI,437159,434697,1091451,0.09,5544,0,0,5544,985494,0.44,0.40
2012,Idaho,ID,666290,652274,1172481,0.05,7985,31606,3848,28584,1089963,0.61,0.57
2012,Illinois,IL,5279752,5242014,9838883,0.09,49348,0,0,49348,8913874,0.59,0.54
2012,Indiana,IN,2663368,2624534,4959521,0.04,28266,0,0,28266,4752712,0.56,0.54
2012,Iowa,IA,1589951,1582180,2356497,0.03,8470,29333,5151,29167,2251922,0.71,0.67
2012,Kansas,KS,1182771,1156254,2162245,0.05,9346,17021,5126,23493,2030640,0.58,0.55
2012,Kentucky,KY,1815843,1797212,3374444,0.02,21863,54511,14419,65173,3235034,0.56,0.54
2012,Louisiana,LA,2014548,1994065,3495424,0.03,40047,41298,28946,90881,3310167,0.61,0.58
2012,Maine,ME,724758,713180,1063754,0.02,0,0,0,0,1044606,0.69,0.68
2012,Maryland,MD,2734062,2707327,4552894,0.09,20871,96640,13195,85285,4062401,0.67,0.60
2012,Massachusetts,MA,3184196,3167767,5278131,0.08,10283,0,0,10283,4824485,0.66,0.60
2012,Michigan,MI,4780701,4730961,7637478,0.04,43019,0,0,43019,7327148,0.65,0.63
2012,Minnesota,MN,2950780,2936561,4111021,0.04,9383,108157,6006,72712,3857424,0.77,0.72
2012,Mississippi,MS,1285584,1285584,2245738,0.02,22305,30768,6804,45416,2166636,0.59,0.57
2012,Missouri,MO,2840776,2757323,4627371,0.03,30714,55470,20672,80785,4430901,0.64,0.61
2012,Montana,MT,491966,484048,783676,0.01,3592,0,0,3592,773031,0.64,0.63
2012,Nebraska,NE,804245,794379,1394124,0.05,4466,14260,1383,13407,1315193,0.61,0.58
2012,Nevada,NV,1016664,1014918,2099011,0.13,12883,11321,5379,24262,1795581,0.57,0.48
2012,New Hampshire,NH,718700,710972,1050220,0.03,2672,0,0,2672,1016041,0.71,0.68
2012,New Jersey,NJ,3683638,3640292,6826144,0.12,21759,114886,14987,97636,5902545,0.62,0.54
2012,New Mexico,NM,786522,783757,1576959,0.07,6553,21381,5078,22963,1438878,0.55,0.50
2012,New York,NY,7128852,7074723,15334363,0.13,49889,0,46222,96111,13321457,0.54,0.46
2012,North Carolina,NC,4542488,4505372,7500448,0.06,35567,96070,4359,90843,6952078,0.65,0.61
2012,North Dakota,ND,325564,322627,548770,0.02,1500,0,0,1500,537941,0.61,0.59
2012,Ohio,OH,5632423,5580822,8894484,0.02,50313,0,0,50313,8648493,0.65,0.63
2012,Oklahoma,OK,1343380,1334872,2886686,0.05,25225,25506,2310,41053,2715732,0.49,0.47
2012,Oregon,OR,1820507,1789270,3046864,0.07,13607,0,0,13607,2832164,0.64,0.60
2012,Pennsylvania,PA,5783621,5742040,10037436,0.03,50054,0,0,50054,9656146,0.60,0.58
2012,Rhode Island,RI,451593,446049,838169,0.08,3249,0,0,3249,772057,0.58,0.54
2012,South Carolina,SC,1981516,1964118,3656261,0.04,21895,34945,6116,46532,3481760,0.57,0.54
2012,South Dakota,SD,368270,363815,630180,0.02,3574,0,2761,6335,611872,0.60,0.58
2012,Tennessee,TN,2479733,2458577,4975501,0.03,28135,64430,13138,75421,4735888,0.52,0.50
2012,Texas,TX,7993851,7993851,19204782,0.14,157564,405473,112288,484753,16127383,0.50,0.42
2012,Utah,UT,1028786,1017440,1976573,0.07,6611,0,0,6611,1831602,0.56,0.52
2012,Vermont,VT,301793,299290,501853,0.02,0,0,0,0,492820,0.61,0.60
2012,Virginia,VA,3888186,3854489,6345002,0.07,36425,52956,1983,66475,5828032,0.67,0.61
2012,Washington,WA,3172939,3125516,5329262,0.08,16355,88339,8895,72070,4820193,0.66,0.60
2012,West Virginia,WV,685099,670438,1472182,0.01,7052,8573,2052,13648,1446756,0.47,0.47
2012,Wisconsin,WI,3084115,3068434,4411462,0.03,21987,46328,20023,66564,4203731,0.73,0.70
2012,Wyoming,WY,250701,249061,441429,0.03,2163,5162,762,5661,424733,0.59,0.57
2010,Alabama,AL,1503232,1494273,3661750,0.03,31764,26633,9006,67403,3487654,0.43,0.41
2010,Alaska,AK,261128,256192,528459,0.05,5597,3480,2089,11166,493475,0.53,0.49
2010,Arizona,AZ,1750840,1727791,4806125,0.10,40130,40455,7993,88578,4225272,0.41,0.36
2010,Arkansas,AR,789773,781333,2216571,0.04,16204,14411,21106,51721,2082028,0.38,0.36
2010,California,CA,10529134,10095485,28157259,0.18,165062,0,105133,270195,22823850,0.46,0.37
2010,Colorado,CO,1828323,1787730,3842941,0.08,22815,0,11014,33829,3521135,0.52,0.48
2010,Connecticut,CT,1153872,1153115,2771060,0.09,19321,0,2894,22215,2512285,0.46,0.42
2010,Delaware,DE,316754,307402,696911,0.05,6598,8157,560,15315,646761,0.49,0.45
2010,District of Columbia,DC,135846,132656,507942,0.09,0,0,0,0,460938,0.29,0.27
2010,Florida,FL,5473787,5411106,14916715,0.12,104306,128110,4093,236509,12966802,0.42,0.37
2010,Georgia,GA,2623035,2576161,7253576,0.08,56432,228580,25091,310103,6394095,0.41,0.36
2010,Hawaii,HI,386302,382563,1064539,0.09,5912,0,0,5912,960761,0.40,0.36
2010,Idaho,ID,459079,452535,1146045,0.04,7431,26447,3957,37835,1057993,0.43,0.40
2010,Illinois,IL,3792770,3729989,9736527,0.09,48418,0,0,48418,8780431,0.43,0.39
2010,Indiana,IN,1791832,1744481,4895546,0.03,28028,0,0,28028,4700148,0.38,0.37
2010,Iowa,IA,1133429,1116063,2328364,0.03,9455,11190,3197,23842,2227920,0.51,0.49
2010,Kansas,KS,857658,838790,2134690,0.05,9051,8701,5063,22815,1999897,0.43,0.40
2010,Kentucky,KY,1417995,1356468,3332440,0.03,20544,28598,14628,63770,3186792,0.45,0.43
2010,Louisiana,LA,1298649,1264994,3437623,0.03,39445,21957,26202,87604,3251832,0.40,0.38
2010,Maine,ME,580584,572766,1055878,0.02,0,0,0,0,1038785,0.56,0.55
2010,Maryland,MD,1868179,1857880,4453952,0.09,22645,44090.5,13195,79931,3976848,0.47,0.42
2010,Massachusetts,MA,2319963,2297039,5167053,0.09,11312,0,0,11312,4684240,0.50,0.45
2010,Michigan,MI,3268217,3226088,7555775,0.04,44113,0,0,44113,7249664,0.45,0.43
2010,Minnesota,MN,2123369,2107021,4040120,0.05,9796,55943,5807,71546,3787530,0.56,0.53
2010,Mississippi,MS,788549,788549,2221684,0.02,21067,13397,6434,40898,2143946,0.37,0.35
2010,Missouri,MO,1997271,1943899,4580080,0.03,30623,28715,19421,78759,4383789,0.46,0.44
2010,Montana,MT,367096,360341,769610,0.01,3716,0,0,3716,758424,0.48,0.48
2010,Nebraska,NE,503514,487988,1373145,0.04,4587,8160,941,13688,1302279,0.39,0.37
2010,Nevada,NV,723515,721404,2044399,0.13,12653,5917,4964,23534,1753166,0.41,0.35
2010,New Hampshire,NH,461423,456588,1033552,0.03,2761,0,0,2761,1001435,0.46,0.45
2010,New Jersey,NJ,2200974,2121584,6752083,0.12,25007,60077.5,15563,100648,5813989,0.38,0.33
2010,New Mexico,NM,630013,602827,1551751,0.08,6659,9920,3146,19725,1411888,0.45,0.41
2010,New York,NY,4763899,4658586,15121092,0.13,56656,0,48542,105198,13105474,0.36,0.32
2010,North Carolina,NC,2700706,2660079,7320628,0.06,40116,52114,3621,95851,6777828,0.40,0.37
2010,North Dakota,ND,241039,238812,527031,0.02,1487,0,0,1487,516826,0.47,0.46
2010,Ohio,OH,3956028,3852453,8827567,0.02,51712,0,0,51712,8566897,0.46,0.45
2010,Oklahoma,OK,1043507,1034767,2836265,0.04,26252,12829,2627,41708,2673056,0.39,0.37
2010,Oregon,OR,1487210,1453548,2983427,0.07,14014,0,0,14014,2760025,0.54,0.50
2010,Pennsylvania,PA,4055336,3987551,9943828,0.03,51264,0,0,51264,9562603,0.42,0.41
2010,Rhode Island,RI,346357,342290,831351,0.08,3357,0,0,3357,763719,0.45,0.42
2010,South Carolina,SC,1365480,1344198,3569456,0.04,23578,16593,6412,46583,3385527,0.40,0.38
2010,South Dakota,SD,323410,317083,615153,0.02,3434,0,2843,6277,598304,0.54,0.53
2010,Tennessee,TN,1620542,1601549,4876354,0.04,27451,29973,12157,69581,4636768,0.35,0.33
2010,Texas,TX,5066957,4979870,18480135,0.14,173649,209339,104763,487751,15461769,0.33,0.27
2010,Utah,UT,653274,643307,1911676,0.07,6807,0,0,6807,1774967,0.37,0.34
2010,Vermont,VT,243617,241605,498078,0.02,0,0,0,0,488761,0.50,0.49
2010,Virginia,VA,2214505,2189841,6193893,0.07,37410,28327,2624,68361,5676934,0.39,0.36
2010,Washington,WA,2565589,2511094,5186815,0.08,18235,48932,6956,74123,4687044,0.55,0.49
2010,West Virginia,WV,536493,529948,1468244,0.01,6681,4312,1796,12789,1444109,0.37,0.37
2010,Wisconsin,WI,2185021,2171331,4361980,0.03,22724,23082,19572,65378,4161265,0.53,0.50
2010,Wyoming,WY,190822,188463,429977,0.02,2112,2660,682,5454,416931,0.46,0.44
2008,Alabama,AL,2105622,2099819,3595708,0.02,"30,508","53,252","8,042","61,155","3,455,447",0.61,0.59
2008,Alaska,AK,327341,326197,507645,0.04,"5,014","6,708","1,732","9,234","479,628",0.68,0.64
2008,Arizona,AZ,2320851,2293475,4673718,0.12,"39,589","82,232","7,534","84,472","4,047,095",0.57,0.50
2008,Arkansas,AR,1095958,1086617,2174846,0.03,"14,716","31,169","19,908","40,255","2,071,520",0.53,0.50
2008,California,CA,13743177,13561900,27411094,0.18,"173,670",0,"120,753","234,047","22,270,461",0.62,0.50
2008,Colorado,CO,2422236,2401361,3708955,0.08,"23,274",0,"11,654","29,101","3,383,138",0.72,0.65
2008,Connecticut,CT,,1646792,2725917,0.09,"20,661",0,"2,328","21,825","2,472,389",,
2008,Delaware,DE,413562,412398,680493,0.05,"7,075","17,216",551,"15,959","628,468",0.66,0.61
2008,District of Columbia,DC,266871,265853,481971,0.10,0,0,0,0,"432,328",0.62,0.55
2008,Florida,FL,8453743,8390744,14558436,0.11,"102,388","279,760","4,528","244,532","12,683,359",0.67,0.58
2008,Georgia,GA,3940705,3924440,7063638,0.07,"52,719","397,081","23,448","262,984","6,285,008",0.63,0.56
2008,Hawaii,HI,456064,453568,1036088,0.10,"5,955",0,0,"5,955","929,632",0.49,0.44
2008,Idaho,ID,667506,655032,1117842,0.05,"7,290","49,513","3,361","33,727","1,029,341",0.65,0.60
2008,Illinois,IL,5578195,5523051,9615700,0.09,"45,474",0,0,"45,474","8,685,582",0.64,0.58
2008,Indiana,IN,2805986,2751054,4826231,0.03,"28,322",0,0,"28,322","4,653,122",0.60,0.58
2008,Iowa,IA,1543662,1537123,2298515,0.03,"8,766","22,958","3,159","21,825","2,216,929",0.70,0.67
2008,Kansas,KS,1264208,1235872,2100084,0.04,"8,539","16,263","4,958","19,150","1,992,730",0.63,0.60
2008,Kentucky,KY,1858578,1826508,3277617,0.02,"21,706","51,035","12,277","53,362","3,152,147",0.59,0.57
2008,Louisiana,LA,1979852,1960761,3342279,0.02,"38,381","40,025","24,636","70,712","3,204,721",0.62,0.59
2008,Maine,ME,744456,731163,1049816,0.01,0,0,0,0,"1,036,168",0.72,0.71
2008,Maryland,MD,2661905,2631596,4342850,0.08,"23,324","96,360","13,220","78,114","3,925,994",0.68,0.61
2008,Massachusetts,MA,3102995,3080985,5058035,0.09,"11,408",0,0,"11,408","4,611,636",0.67,0.61
2008,Michigan,MI,5039080,5001766,7528460,0.03,"48,738",0,0,"48,738","7,231,283",0.70,0.67
2008,Minnesota,MN,2921147,2910369,3975974,0.04,"9,910","127,627","5,081","76,264","3,740,671",0.78,0.73
2008,Mississippi,MS,,1289856,2190402,0.02,"22,754","22,267","2,922","35,349","2,113,435",,
2008,Missouri,MO,2950504,2925205,4507688,0.03,"30,186","57,360","20,683","69,208","4,325,788",0.68,0.65
2008,Montana,MT,497599,491960,755384,0.01,"3,545",0,0,"3,545","742,019",0.67,0.66
2008,Nebraska,NE,811923,801281,1348048,0.04,"4,520","19,606",846,"14,746","1,275,336",0.64,0.60
2008,Nevada,NV,970019,967848,2000277,0.14,"12,743","13,337","3,908","21,366","1,696,872",0.57,0.48
2008,New Hampshire,NH,719643,710970,1021787,0.03,"2,702",0,0,"2,702","992,519",0.73,0.70
2008,New Jersey,NJ,3910220,3868237,6651284,0.12,"25,953","128,737","15,849","98,246","5,774,838",0.68,0.59
2008,New Mexico,NM,833365,830158,1505830,0.08,"6,402","20,883","3,724","18,706","1,362,140",0.61,0.55
2008,New York,NY,7721718,7640640,14876971,0.12,"60,347",0,"52,225","86,460","12,945,767",0.60,0.52
2008,North Carolina,NC,4354571,4310789,7096503,0.06,"39,482","109,678","3,409","96,026","6,581,783",0.66,0.61
2008,North Dakota,ND,321133,316621,512768,0.01,"1,452",0,0,"1,452","504,650",0.64,0.63
2008,Ohio,OH,5773777,5698260,8757453,0.02,"51,686",0,0,"51,686","8,513,103",0.68,0.66
2008,Oklahoma,OK,1474694,1462661,2770219,0.04,"25,864","27,940","3,073","41,371","2,618,039",0.56,0.53
2008,Oregon,OR,1845251,1827864,2916246,0.07,"14,167",0,0,"14,167","2,700,858",0.68,0.63
2008,Pennsylvania,PA,6071357,6012692,9813664,0.03,"49,215",0,0,"49,215","9,460,225",0.64,0.62
2008,Rhode Island,RI,475428,471766,825786,0.07,"4,045",0,0,"4,045","763,936",0.62,0.58
2008,South Carolina,SC,1927153,1920969,3473488,0.03,"24,326","41,254","1,947","45,927","3,309,462",0.58,0.55
2008,South Dakota,SD,387449,381975,602539,0.01,"3,342",0,"2,720","4,702","590,607",0.66,0.64
2008,Tennessee,TN,2618238,2599749,4771926,0.03,"27,228","58,109","10,578","61,572","4,562,424",0.57,0.55
2008,Texas,TX,,8077795,17756112,0.14,"172,506","427,080","102,921","437,507","14,921,530",,
2008,Utah,UT,971185,952370,1840087,0.07,"6,552",0,0,"6,552","1,701,049",0.57,0.53
2008,Vermont,VT,326822,325046,492610,0.02,0,0,0,0,"482,758",0.68,0.66
2008,Virginia,VA,3753059,3723260,6022123,0.07,"38,276","53,614","4,471","67,319","5,557,344",0.68,0.62
2008,Washington,WA,3071587,3036878,5032960,0.08,"17,926","113,134","11,768","80,377","4,560,012",0.67,0.61
2008,West Virginia,WV,731691,713362,1453045,0.01,"6,059","8,283","2,005","11,203","1,430,218",0.51,0.50
2008,Wisconsin,WI,2997086,2983417,4306876,0.03,"23,379","50,418","18,105","57,641","4,120,029",0.73,0.70
2008,Wyoming,WY,256035,254658,418040,0.02,"2,084","5,438",727,"5,167","405,766",0.63,0.61
2006,Alabama,AL,,1250401,3513952,0.02,"28,241","55,766","7,795","63,919","3,369,212",,
2006,Alaska,AK,238307,237322,492452,0.05,"5,069","6,095",973,"9,090","461,202",0.52,0.48
2006,Arizona,AZ,1553032,1526782,4490327,0.13,"35,892","73,265","6,213","78,738","3,845,808",0.40,0.35
2006,Arkansas,AR,780409,774680,2130080,0.03,"13,729","31,508","16,666","46,149","2,013,638",0.39,0.37
2006,California,CA,8899059,8679416,26739781,0.19,"175,512",0,"111,744","287,256","21,398,706",0.42,0.33
2006,Colorado,CO,1586105,1558405,3569901,0.08,"22,481",0,"8,196","30,677","3,253,632",0.49,0.44
2006,Connecticut,CT,1162391,1134780,2683538,0.08,"20,566",0,"2,571","23,137","2,448,401",0.47,0.43
2006,Delaware,DE,258053,254099,659410,0.05,"7,206","16,958",600,"16,285","608,176",0.42,0.39
2006,District of Columbia,DC,122356,120620,466827,0.10,0,0,0,0,"421,545",0.29,0.26
2006,Florida,FL,4884544,4829270,14211669,0.12,"92,969","272,977","4,785","234,243","12,300,449",0.40,0.34
2006,Georgia,GA,2143845,2122258,6799654,0.07,"52,792","422,790","22,851","287,038","6,009,442",0.36,0.32
2006,Hawaii,HI,348988,344315,1012975,0.08,"5,967",0,0,"5,967","924,957",0.38,0.34
2006,Idaho,ID,458927,450832,1072895,0.04,"7,124","48,609","2,482","33,911","991,777",0.46,0.43
2006,Illinois,IL,3586292,3486671,9483856,0.09,"45,106",0,0,"45,106","8,566,235",0.42,0.38
2006,Indiana,IN,1719351,1666922,4743856,0.03,"26,091",0,0,"26,091","4,570,705",0.38,0.36
2006,Iowa,IA,1071509,1048033,2267991,0.03,"8,875","22,622","3,560","23,746","2,180,741",0.49,0.47
2006,Kansas,KS,864083,849700,2062668,0.05,"8,816","15,518","4,666","21,241","1,944,482",0.44,0.42
2006,Kentucky,KY,1370062,1253526,3218000,0.02,"20,000","41,162","10,162","50,743","3,106,115",0.44,0.43
2006,Louisiana,LA,954896,902498,3239317,0.02,"37,012","38,057","24,072","80,113","3,094,418",0.31,0.29
2006,Maine,ME,,550865,1037200,0.02,0,0,0,0,"1,019,568",,
2006,Maryland,MD,1809237,1788316,4261205,0.08,"22,945","75,698","14,271","75,065","3,849,505",0.47,0.42
2006,Massachusetts,MA,2243835,2219779,4970780,0.09,"11,032",0,0,"11,032","4,527,290",0.50,0.45
2006,Michigan,MI,3852008,3801256,7532918,0.04,"51,577",0,0,"51,577","7,210,156",0.53,0.51
2006,Minnesota,MN,2217552,2202987,3896561,0.04,"9,108","127,289","4,007","76,760","3,656,145",0.61,0.57
2006,Mississippi,MS,,610921,2154112,0.01,"21,068","24,107","1,970","35,092","2,091,017",,
2006,Missouri,MO,2178278,2128459,4427266,0.02,"30,167","54,963","18,374","76,023","4,253,843",0.51,0.49
2006,Montana,MT,411061,406505,734669,0.01,"3,572",0,0,"3,572","723,750",0.57,0.56
2006,Nebraska,NE,610499,596087,1325932,0.04,"4,407","18,731",662,"14,435","1,254,482",0.49,0.46
2006,Nevada,NV,586274,582572,1907976,0.14,"12,901","13,208","3,518","23,023","1,610,204",0.36,0.31
2006,New Hampshire,NH,418550,403531,1006234,0.03,"2,805",0,0,"2,805","969,217",0.43,0.42
2006,New Jersey,NJ,2315643,2250070,6565183,0.12,"27,371","132,636","13,874","107,563","5,669,798",0.41,0.35
2006,New Mexico,NM,568597,561084,1464560,0.08,"6,639","16,493","2,831","17,717","1,329,678",0.43,0.39
2006,New York,NY,4703830,4490053,14665626,0.12,"63,315",0,"53,533","116,848","12,730,240",0.37,0.32
2006,North Carolina,NC,2036451,1940808,6799585,0.06,"37,460","110,419","3,101","95,771","6,309,438",0.32,0.30
2006,North Dakota,ND,220479,218152,503647,0.02,"1,363",0,0,"1,363","494,729",0.45,0.44
2006,Ohio,OH,4184072,4022754,8687609,0.02,"49,166",0,0,"49,166","8,447,316",0.50,0.48
2006,Oklahoma,OK,,926462,2709819,0.04,"26,243","27,415","4,329","44,280","2,559,856",,
2006,Oregon,OR,1399650,1379475,2829482,0.07,"13,707",0,0,"13,707","2,609,223",0.54,0.49
2006,Pennsylvania,PA,,4096077,9680466,0.03,"44,397",0,0,"44,397","9,345,655",,
2006,Rhode Island,RI,392882,384993,824887,0.08,"3,996",0,0,"3,996","754,075",0.52,0.48
2006,South Carolina,SC,1117311,1091952,3332190,0.03,"23,616","38,353","3,072","45,865","3,179,695",0.35,0.34
2006,South Dakota,SD,341105,335508,589178,0.01,"3,359",0,"2,444","5,803","575,127",0.59,0.58
2006,Tennessee,TN,1868363,1833695,4641909,0.03,"25,745","52,558","8,630","60,654","4,437,356",0.42,0.40
2006,Texas,TX,,4399068,17029802,0.13,"172,116","431,967","101,916","490,016","14,257,793",,
2006,Utah,UT,582561,571252,1752158,0.07,"6,430",0,0,"6,430","1,621,325",0.36,0.33
2006,Vermont,VT,263025,262726,487141,0.02,0,0,0,0,"477,398",0.55,0.54
2006,Virginia,VA,2398589,2370445,5867219,0.07,"36,688","48,144","4,499","65,259","5,408,856",0.44,0.41
2006,Washington,WA,2085074,2083734,4861001,0.08,"17,561","108,076","11,568","83,167","4,388,954",0.48,0.43
2006,West Virginia,WV,473014,459884,1439052,0.01,"5,733","7,668","1,416","10,983","1,417,996",0.33,0.33
2006,Wisconsin,WI,2183155,2161700,4240696,0.03,"23,431","55,806","15,907","67,241","4,050,475",0.54,0.51
2006,Wyoming,WY,196217,193892,400187,0.02,"2,114","5,225",609,"5,336","386,847",0.51,0.49
2004,Alabama,AL,1890317,1883415,3427542,0.02,"26,521","36,795","7,745","52,664","3,309,755",0.57,0.55
2004,Alaska,AK,314502,312598,476378,0.04,"4,515","5,547",951,"8,240","449,083",0.70,0.66
2004,Arizona,AZ,2038069,2012585,4215706,0.12,"31,631","69,343","5,671","71,974","3,658,926",0.56,0.48
2004,Arkansas,AR,1070573,1054945,2072986,0.03,"13,477","29,128","14,844","42,885","1,972,057",0.54,0.52
2004,California,CA,12589367,12421852,26246548,0.19,"166,053",0,"110,261","276,314","21,035,883",0.60,0.48
2004,Colorado,CO,2148036,2129630,3443164,0.08,"19,756",0,"7,383","27,139","3,157,788",0.68,0.62
2004,Connecticut,CT,1607808,1578769,2652587,0.07,"20,018",0,"2,552","22,570","2,436,378",0.66,0.61
2004,Delaware,DE,377407,375190,635370,0.05,"6,973","18,725",539,"16,875","588,633",0.64,0.59
2004,District of Columbia,DC,230105,227586,458758,0.10,0,0,0,0,"412,882",0.56,0.50
2004,Florida,FL,7640319,7609810,13643828,0.11,"84,733","281,170","4,888","230,206","11,885,513",0.64,0.56
2004,Georgia,GA,3317336,3301875,6499325,0.07,"48,625","419,350","23,344","281,644","5,775,727",0.57,0.51
2004,Hawaii,HI,431662,429013,982882,0.08,"5,946",0,0,"5,946","899,288",0.48,0.44
2004,Idaho,ID,612786,598376,1016255,0.04,"6,312","44,580","2,370","30,972","943,617",0.65,0.60
2004,Illinois,IL,5350493,5274322,9391420,0.09,"44,379",0,0,"44,379","8,501,813",0.63,0.57
2004,Indiana,IN,2512142,2468002,4660157,0.03,"23,760",0,0,"23,760","4,510,573",0.56,0.54
2004,Iowa,IA,1521966,1506908,2239979,0.03,"8,611","22,832","3,317","23,344","2,158,396",0.71,0.68
2004,Kansas,KS,1213108,1187756,2032763,0.04,"9,152","14,309","4,525","20,832","1,924,522",0.63,0.60
2004,Kentucky,KY,1816867,1795860,3157464,0.02,"17,763","33,286","8,006","42,412","3,061,375",0.59,0.58
2004,Louisiana,LA,1956590,1943106,3379937,0.02,"36,745","38,470","24,387","80,367","3,238,731",0.60,0.58
2004,Maine,ME,751519,740752,1022043,0.02,0,0,0,0,"1,005,690",0.75,0.74
