YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2022,Vermont,VT,"291,955",,"532,708",0.02,,0,0,0,"525,012",0.56,0.55
2022,Virginia,VA,"3,021,956",,"6,827,106",0.06,"28,841","39,333","1,917","70,091","6,358,842",0.48,0.44
2022,Washington,WA,"3,067,686",,"6,158,975",0.09,"13,012",0,0,"13,012","5,597,309",0.55,0.50
2022,West Virginia,WV,"494,753",,"1,420,780",0.01,"5,832","3,972","3,207","13,011","1,397,164",0.35,0.35
2022,Wisconsin,WI,"2,673,154",,"4,655,469",0.03,"19,768","24,588","22,965","67,321","4,448,655",0.60,0.57
2022,Wyoming,WY,"198,198",,"452,309",0.02,"2,084","3,235",868,"6,187","437,738",0.45,0.44
2020,Alabama,AL,2325000,,3939759,0.02,25328,24652,8245,66284,3782861,0.61,0.59
2020,Alaska,AK,361400,,556443,0.04,4578,1268,1003,7263,529649,0.68,0.65
2020,Arizona,AZ,3420585,,5672442,0.08,34997,37932,6887,92217,5133804,0.67,0.60
2020,Arkansas,AR,1223675,,2332442,0.04,15850,20733,25852,69213,2178328,0.56,0.52
2020,California,CA,17785151,,30490123,0.15,97328,0,110349,207677,25840035,0.69,0.58
2020,Colorado,CO,3295666,,4579181,0.06,14990,0,0,14990,4297225,0.77,0.72
2020,Connecticut,CT,1861086,,2887773,0.08,9297,0,4080,13377,2655214,0.70,0.64
2020,Delaware,DE,509241,,798104,0.05,4653,5278,373,12030,745131,0.68,0.64
2020,District of Columbia,DC,346491,,544795,0.08,0,0,0,0,503118,0.69,0.64
2020,Florida,FL,11144855,,17593558,0.09,75977,93389,4280,204177,15742624,0.71,0.63
2020,Georgia,GA,5023159,,8282660,0.06,44796,177546,19447,299832,7490838,0.67,0.61
2020,Hawaii,HI,579784,,1145618,0.08,4097,0,0,4097,1047466,0.55,0.51
2020,Idaho,ID,878527,,1443536,0.04,7996,14257,5967,32881,1352914,0.65,0.61
2020,Illinois,IL,6050000,,9910732,0.08,28582,0,0,28582,9095238,0.67,0.61
2020,Indiana,IN,3068542,,5240144,0.04,23458,0,0,23458,5025421,0.61,0.59
2020,Iowa,IA,1700130,,2469708,0.03,8128,12916,7261,32528,2360125,0.72,0.69
2020,Kansas,KS,1375125,,2242018,0.05,8477,8254,5428,24858,2112458,0.65,0.61
2020,Kentucky,KY,2150954,,3499169,0.03,18433,28839,14429,71129,3339511,0.64,0.61
2020,Louisiana,LA,2169401,,3552258,0.03,26851,14507,21566,67667,3382286,0.64,0.61
2020,Maine,ME,828305,,1127932,0.02,0,0,0,0,1106276,0.75,0.73
2020,Maryland,MD,3066945,,4820237,0.08,14918,0,0,14918,4416326,0.69,0.64
2020,Massachusetts,MA,3658005,,5638722,0.09,5993,0,0,5993,5129755,0.71,0.65
2020,Michigan,MI,5579317,,7907056,0.03,33246,0,0,33246,7615249,0.73,0.71
2020,Minnesota,MN,3292997,,4408498,0.04,7681,44332,7359,73865,4157411,0.79,0.75
2020,Mississippi,MS,1325000,,2265253,0.01,17569,15092,10510,48106,2185433,0.61,0.58
2020,Missouri,MO,3026028,,4800088,0.02,22890,20149,20729,70356,4620290,0.65,0.63
2020,Montana*,MT,612075,,873659,0.01,3910,0,0,3910,857955,0.71,0.70
2020,Nebraska,NE,966920,,1484568,0.05,5071,5956,1156,14130,1400069,0.69,0.65
2020,Nevada,NV,1407754,,2455546,0.10,10455,0,0,10455,2191188,0.64,0.57
2020,New Hampshire,NH,814499,,1132908,0.03,2158,0,0,2158,1101294,0.74,0.72
2020,New Jersey,NJ,4635585,,7261675,0.11,11896,0,0,11896,6435019,0.72,0.64
2020,New Mexico,NM,928230,,1649222,0.06,5377,6075,2725,16163,1534600,0.60,0.56
2020,New York,NY,8690139,,15787812,0.10,32574,0,43979,76553,14081957,0.62,0.55
2020,North Carolina,NC,5545848,,8284274,0.05,28406,0,0,28406,7811002,0.71,0.67
2020,North Dakota,ND,364251,,594772,0.03,1384,0,0,1384,577567,0.63,0.61
2020,Ohio,OH,5974121,,9184163,0.03,44608,0,0,44608,8906277,0.67,0.65
2020,Oklahoma,OK,1565000,,3040979,0.04,22071,11974,2237,40197,2875494,0.54,0.51
2020,Oregon,OR,2413890,,3405290,0.06,12753,0,0,12753,3204224,0.75,0.71
2020,Pennsylvania*,PA,6958551,,10363451,0.04,38938,0,0,38938,9950392,0.70,0.67
2020,Rhode Island,RI,522488,,890532,0.07,2227,0,0,2227,828194,0.63,0.59
2020,South Carolina,SC,2533010,,4087762,0.03,15787,13722,4638,38633,3914642,0.65,0.62
2020,South Dakota,SD,427529,,678680,0.02,3176,3926,3673,12059,651554,0.66,0.63
2020,Tennessee,TN,3065000,,5439926,0.04,22205,31486,12407,76392,5174225,0.59,0.56
2020,Texas,TX,11350000,,22157381,0.12,128653,173864,110437,469794,18982171,0.60,0.51
2020,Utah,UT,1515845,,2402151,0.06,5249,0,0,5249,2255175,0.67,0.63
2020,Vermont,VT,370968,,531104,0.02,0,0,0,0,520641,0.71,0.70
2020,Virginia,VA,4523142,,6785517,0.06,30620,33426,2017,76990,6300717,0.72,0.67
2020,Washington,WA,4116894,,6079926,0.09,15056,37534,14536,79397,5465496,0.75,0.68
2020,West Virginia,WV,802726,,1430595,0.01,6031,3246,3682,14021,1403699,0.57,0.56
2020,Wisconsin,WI,3310000,,4621234,0.03,19846,19960,23174,69506,4410780,0.75,0.72
