pct_name,pct_id,pct_num,reg_vot,DEM,RFK,LIB,ASP,GRN,CON,REP,AUR,YES,NO,total_pres,total_rcv,prop_dem,prop_rep,prop_rfk,prop_yes,prop_no,exception
04-110 Juneau No. 1,04-110,38,2359,282,6,7,1,5,2,124,2,108,315,429,423,0.6573426573426573,0.289044289044289,0.013986013986013986,0.2553191489361702,0.7446808510638298,FALSE
04-115 Juneau No. 2,04-115,39,2367,358,9,4,1,8,0,72,8,69,382,460,451,0.7782608695652173,0.1565217391304348,0.01956521739130435,0.15299334811529933,0.8470066518847007,FALSE
04-120 Juneau No. 3,04-120,40,1097,164,8,3,1,2,0,76,1,60,185,255,245,0.6431372549019608,0.2980392156862745,0.03137254901960784,0.24489795918367346,0.7551020408163265,FALSE
04-125 Lemon Creek,04-125,41,2485,289,13,7,5,2,1,248,3,188,354,568,542,0.5088028169014085,0.43661971830985913,0.022887323943661973,0.34686346863468637,0.6531365313653137,FALSE
04-130 Glacier Valley Area,04-130,42,2247,178,4,2,0,11,0,187,1,134,236,383,370,0.46475195822454307,0.48825065274151436,0.010443864229765013,0.3621621621621622,0.6378378378378379,FALSE
04-135 North Douglas,04-135,43,1508,298,7,5,2,5,1,124,0,103,328,442,431,0.6742081447963801,0.28054298642533937,0.01583710407239819,0.23897911832946636,0.7610208816705336,FALSE
05-800 Chiniak,05-800,44,137,21,1,1,0,2,0,29,0,29,23,54,52,0.3888888888888889,0.5370370370370371,0.018518518518518517,0.5576923076923077,0.4423076923076923,FALSE
05-810 Flats,05-810,45,1869,169,4,6,2,2,1,373,0,277,241,557,518,0.30341113105924594,0.6696588868940754,0.00718132854578097,0.5347490347490348,0.46525096525096526,FALSE
05-815 Kodiak Island South,05-815,46,162,7,0,0,0,0,0,8,0,8,7,15,15,0.4666666666666667,0.5333333333333333,0,0.5333333333333333,0.4666666666666667,FALSE
05-820 Kodiak No. 1,05-820,47,2049,254,6,4,1,5,1,375,1,284,316,647,600,0.39258114374034003,0.5795981452859351,0.00927357032457496,0.47333333333333333,0.5266666666666666,FALSE
05-825 Kodiak No. 2,05-825,48,2045,284,12,4,2,8,4,378,1,291,331,693,622,0.4098124098124098,0.5454545454545454,0.017316017316017316,0.4678456591639871,0.5321543408360129,FALSE
05-830 Mission Road,05-830,49,3604,490,24,17,3,10,3,854,1,702,646,1402,1348,0.34950071326676174,0.609129814550642,0.017118402282453638,0.5207715133531158,0.4792284866468843,FALSE
05-835 Old Harbor,05-835,50,121,15,2,0,0,0,0,13,0,12,17,30,29,0.5,0.43333333333333335,0.06666666666666667,0.41379310344827586,0.5862068965517241,FALSE
05-840 Ouzinkie,05-840,51,136,35,2,2,0,1,0,16,0,14,35,56,49,0.625,0.2857142857142857,0.03571428571428571,0.2857142857142857,0.7142857142857143,FALSE
05-845 Port Lions,05-845,52,173,12,1,0,0,1,0,51,0,41,21,65,62,0.18461538461538463,0.7846153846153846,0.015384615384615385,0.6612903225806451,0.3387096774193548,FALSE
05-860 Cordova,05-860,53,2001,211,10,2,1,10,0,243,1,197,261,478,458,0.44142259414225943,0.5083682008368201,0.02092050209205021,0.43013100436681223,0.5698689956331878,FALSE
05-865 Seward-Lowell Point,05-865,54,1882,219,13,3,2,8,1,229,0,211,241,475,452,0.4610526315789474,0.48210526315789476,0.02736842105263158,0.4668141592920354,0.5331858407079646,FALSE
05-870 Tatitlek,05-870,55,112,14,1,0,0,0,0,4,0,6,13,19,19,0.7368421052631579,0.21052631578947367,0.05263157894736842,0.3157894736842105,0.6842105263157895,FALSE
06-200 Anchor Point,06-200,56,2560,216,17,15,0,11,2,726,1,638,311,988,949,0.21862348178137653,0.7348178137651822,0.01720647773279352,0.672286617492097,0.32771338250790305,FALSE
06-210 Diamond Ridge,06-210,57,1421,158,5,4,0,8,1,166,4,148,186,346,334,0.45664739884393063,0.4797687861271676,0.014450867052023121,0.4431137724550898,0.5568862275449101,FALSE
06-220 Fox River,06-220,58,1005,56,7,2,0,3,1,185,2,170,75,256,245,0.21875,0.72265625,0.02734375,0.6938775510204082,0.30612244897959184,FALSE
06-230 Homer No. 1,06-230,59,2973,240,21,5,3,8,4,270,1,241,281,552,522,0.43478260869565216,0.4891304347826087,0.03804347826086957,0.4616858237547893,0.5383141762452107,FALSE
06-240 Homer No. 2,06-240,60,2483,217,17,10,6,6,3,287,1,272,251,547,523,0.396709323583181,0.5246800731261426,0.031078610603290677,0.5200764818355641,0.47992351816443596,FALSE
06-250 Kachemak-Fritz Creek,06-250,61,2215,329,20,9,0,7,3,305,2,297,358,675,655,0.4874074074074074,0.45185185185185184,0.02962962962962963,0.4534351145038168,0.5465648854961832,FALSE
06-260 Kasilof,06-260,62,3611,239,15,11,3,6,4,804,2,708,348,1084,1056,0.22047970479704798,0.7416974169741697,0.013837638376383764,0.6704545454545454,0.32954545454545453,FALSE
06-270 Ninilchik,06-270,63,1765,158,5,5,0,3,3,459,0,395,200,633,595,0.24960505529225907,0.7251184834123223,0.007898894154818325,0.6638655462184874,0.33613445378151263,FALSE
06-280 Seldovia-Kachemak Bay,06-280,64,478,72,1,2,0,2,0,80,1,77,73,158,150,0.45569620253164556,0.5063291139240507,0.006329113924050633,0.5133333333333333,0.4866666666666667,FALSE
07-005 Central,07-005,65,2851,152,14,7,1,4,2,559,3,500,217,742,717,0.20485175202156333,0.7533692722371967,0.018867924528301886,0.697350069735007,0.30264993026499304,FALSE
07-010 K Beach,07-010,66,3486,168,21,9,2,6,2,679,1,598,263,888,861,0.1891891891891892,0.7646396396396397,0.02364864864864865,0.6945412311265969,0.305458768873403,FALSE
07-015 Kenai No. 1,07-015,67,3252,213,13,10,1,5,4,502,3,430,289,751,719,0.2836218375499334,0.6684420772303595,0.017310252996005325,0.5980528511821975,0.4019471488178025,FALSE
07-020 Kenai No. 2,07-020,68,1731,104,7,2,0,4,3,321,1,274,153,442,427,0.23529411764705882,0.7262443438914027,0.01583710407239819,0.6416861826697893,0.3583138173302108,FALSE
07-025 Kenai No. 3,07-025,69,1535,88,5,3,2,0,0,239,0,194,132,337,326,0.26112759643916916,0.7091988130563798,0.01483679525222552,0.5950920245398773,0.4049079754601227,FALSE
07-030 Soldotna,07-030,70,4183,220,19,9,4,4,2,579,2,470,333,839,803,0.2622169249106079,0.6901072705601907,0.02264600715137068,0.5853051058530511,0.41469489414694893,FALSE
08-035 Bear Creek,08-035,71,1920,227,12,2,0,8,0,341,5,318,253,595,571,0.3815126050420168,0.573109243697479,0.020168067226890758,0.5569176882661997,0.44308231173380036,FALSE
08-040 Cooper Landing,08-040,72,405,65,4,3,0,1,0,73,0,66,74,146,140,0.4452054794520548,0.5,0.0273972602739726,0.4714285714285714,0.5285714285714286,FALSE
08-045 Funny River No. 1,08-045,73,1162,71,2,2,0,0,0,260,2,235,97,337,332,0.21068249258160238,0.771513353115727,0.005934718100890208,0.70783132530120485,0.2921686746987952,FALSE
08-050 Funny River No. 2,08-050,74,1275,44,5,5,1,0,2,214,1,169,91,272,260,0.16176470588235295,0.7867647058823529,0.01838235294117647,0.65,0.35,FALSE
08-055 Hope,08-055,75,182,42,1,0,0,4,0,22,0,19,45,69,64,0.6086956521739131,0.3188405797101449,0.014492753623188406,0.296875,0.703125,FALSE
08-060 Mackey Lake,08-060,76,2465,112,8,4,0,4,2,402,1,347,165,533,512,0.2101313320825516,0.7542213883677298,0.0150093808630394,0.677734375,0.322265625,FALSE
08-065 Moose Pass,08-065,77,385,70,4,1,0,3,0,80,0,74,81,158,155,0.4430379746835443,0.5063291139240507,0.02531645569620253,0.4774193548387097,0.5225806451612903,FALSE
08-070 Nikiski,08-070,78,2344,115,10,6,3,2,2,663,0,584,191,801,775,0.14357053682896379,0.8277153558052435,0.012484394506866416,0.7535483870967742,0.24645161290322581,FALSE
08-075 Salamatof,08-075,79,2614,110,9,4,0,1,2,635,3,553,184,764,737,0.14397905759162305,0.831151832460733,0.011780104712041885,0.7503392130257802,0.2496607869742198,FALSE
08-080 Sterling No. 1,08-080,80,2302,120,13,5,2,2,3,560,0,491,194,705,685,0.1702127659574468,0.7943262411347518,0.018439716312056736,0.7167883211678832,0.2832116788321168,FALSE
08-085 Sterling No. 2,08-085,81,2474,129,10,3,0,0,1,669,1,564,205,813,769,0.15867158671586715,0.8228782287822878,0.012300123001230012,0.7334200260078023,0.2665799739921977,FALSE
09-105 Girdwood,09-105,82,1966,583,28,9,0,11,1,186,2,189,607,820,796,0.7109756097560975,0.22682926829268293,0.03414634146341464,0.23743718592964824,0.7625628140703518,FALSE
09-110 Indian,09-110,83,302,67,0,0,1,4,0,57,1,48,78,130,126,0.5153846153846153,0.43846153846153846,0,0.38095238095238093,0.6190476190476191,FALSE
09-115 South Anchorage No. 1,09-115,84,2867,465,24,11,2,1,1,619,1,553,549,1124,1102,0.41370106761565834,0.550711743772242,0.021352313167259787,0.5018148820326679,0.4981851179673321,FALSE
09-120 South Anchorage No. 2,09-120,85,3303,428,27,12,1,2,4,734,1,627,552,1209,1179,0.35401157981803144,0.6071133167907361,0.022332506203473945,0.5318066157760815,0.4681933842239186,FALSE
09-125 South Anchorage No. 3,09-125,86,2868,420,17,11,4,5,5,564,1,522,487,1027,1009,0.4089581304771178,0.549172346640701,0.016553067185978577,0.5173439048562933,0.48265609514370666,FALSE
09-130 South Anchorage No. 4,09-130,87,3126,449,22,11,2,6,0,627,0,573,521,1117,1094,0.40196956132497763,0.5613249776186213,0.019695613249776187,0.5237659963436929,0.47623400365630714,FALSE
09-135 South Anchorage No. 5,09-135,88,1407,223,7,8,1,1,1,257,0,237,252,498,489,0.44779116465863456,0.5160642570281124,0.014056224899598393,0.48466257668711654,0.5153374233128835,FALSE
09-140 Stuckagain Heights,09-140,89,438,85,2,1,0,2,0,67,0,59,96,157,155,0.5414012738853503,0.4267515923566879,0.012738853503184714,0.38064516129032255,0.6193548387096774,FALSE
09-145 Whittier,09-145,90,255,30,2,1,0,0,0,48,0,35,35,81,70,0.37037037037037035,0.5925925925925926,0.024691358024691357,0.5,0.5,FALSE
10-150 Dimond,10-150,91,3476,354,21,4,2,15,2,414,3,358,421,815,779,0.4343558282208589,0.5079754601226993,0.025766871165644172,0.4595635430038511,0.540436456996149,FALSE
10-155 Oceanview No. 1,10-155,92,3198,449,14,8,1,7,1,558,0,471,530,1038,1001,0.4325626204238921,0.5375722543352601,0.01348747591522158,0.47052947052947053,0.5294705294705294,FALSE
10-160 Oceanview No. 2,10-160,93,1880,289,14,8,2,3,2,388,1,353,345,707,698,0.4087694483734088,0.5487977369165488,0.019801980198019802,0.505730659025788,0.49426934097421205,FALSE
10-165 Oceanview No. 3,10-165,94,2833,398,19,10,6,8,2,509,1,444,484,953,928,0.4176285414480588,0.534102833158447,0.01993704092339979,0.47844827586206895,0.521551724137931,FALSE
10-170 Oceanview No. 4,10-170,95,1966,346,17,11,0,3,1,446,4,401,413,828,814,0.4178743961352657,0.538647342995169,0.020531400966183576,0.4926289926289926,0.5073710073710074,FALSE
10-175 Oceanview No. 5,10-175,96,2047,271,10,5,1,8,1,375,1,324,324,672,648,0.40327380952380953,0.5580357142857143,0.01488095238095238,0.5,0.5,FALSE
11-205 Hillside No. 1,11-205,97,2400,270,12,4,0,7,0,330,2,291,316,625,607,0.432,0.528,0.0192,0.4794069192751236,0.5205930807248764,FALSE
11-210 Hillside No. 2,11-210,98,3806,502,19,14,4,12,1,641,3,580,583,1196,1163,0.4197324414715719,0.5359531772575251,0.01588628762541806,0.49871023215821153,0.5012897678417885,FALSE
11-215 Hillside No. 3,11-215,99,1594,236,13,7,6,2,2,370,1,333,289,637,622,0.3704866562009419,0.5808477237048666,0.02040816326530612,0.5353697749196141,0.4646302250803859,FALSE
11-220 Hillside No. 4,11-220,100,2019,237,3,6,1,5,0,429,1,363,300,682,663,0.34750733137829914,0.6290322580645161,0.004398826979472141,0.5475113122171946,0.45248868778280543,FALSE
11-225 Hillside No. 5,11-225,101,1697,307,18,13,3,3,2,402,1,358,383,749,741,0.4098798397863818,0.5367156208277704,0.02403204272363151,0.48313090418353577,0.5168690958164642,FALSE
11-230 Hillside No. 6,11-230,102,2209,344,20,9,1,3,7,388,1,373,395,773,768,0.445019404915912,0.5019404915912031,0.0258732212160414,0.4856770833333333,0.5143229166666666,FALSE
11-235 Hillside No. 7,11-235,103,1726,304,7,5,2,4,0,320,0,286,352,642,638,0.4735202492211838,0.4984423676012461,0.010903426791277258,0.4482758620689655,0.5517241379310345,FALSE
12-250 Southeast Anchorage No. 1,12-250,104,3369,349,14,6,2,10,1,491,3,387,448,876,835,0.3984018264840183,0.5605022831050228,0.01598173515981735,0.46347305389221555,0.5365269461077844,FALSE
12-255 Southeast Anchorage No. 2,12-255,105,1648,187,7,7,1,4,0,279,2,244,229,487,473,0.3839835728952772,0.5728952772073922,0.014373716632443531,0.5158562367864693,0.48414376321353064,FALSE
12-260 Southeast Anchorage No. 3,12-260,106,2660,342,10,12,4,4,2,418,6,364,383,798,747,0.42857142857142855,0.5238095238095238,0.012531328320802004,0.48728246318607765,0.5127175368139224,FALSE
12-265 Southeast Anchorage No. 4,12-265,107,2185,345,13,4,2,8,2,427,2,367,418,803,785,0.42963885429638854,0.5317559153175592,0.0161892901618929,0.467515923566879,0.532484076433121,FALSE
12-270 Southeast Anchorage No. 5,12-270,108,3311,398,18,9,1,7,1,516,4,432,499,954,931,0.4171907756813417,0.5408805031446541,0.018867924528301886,0.4640171858216971,0.5359828141783028,FALSE
12-275 Southeast Anchorage No. 6,12-275,109,2246,406,13,6,1,3,1,363,2,319,454,795,773,0.5106918238993711,0.45660377358490567,0.016352201257861635,0.4126778783958603,0.5873221216041398,FALSE
13-305 South Midtown No. 1,13-305,110,689,82,3,1,0,0,1,133,2,109,107,222,216,0.36936936936936937,0.5990990990990991,0.013513513513513514,0.5046296296296297,0.49537037037037035,FALSE
13-310 South Midtown No. 2,13-310,111,3639,460,24,10,3,6,1,576,1,494,552,1081,1046,0.425531914893617,0.5328399629972248,0.022201665124884366,0.4722753346080306,0.5277246653919694,FALSE
13-315 South Midtown No. 3,13-315,112,3624,417,20,9,2,6,1,520,0,449,506,975,955,0.4276923076923077,0.5333333333333333,0.020512820512820513,0.4701570680628272,0.5298429319371728,FALSE
13-320 South Midtown No. 4,13-320,113,3894,403,10,10,1,18,3,500,3,413,500,948,913,0.42510548523206754,0.5274261603375527,0.010548523206751054,0.452354874041621,0.547645125958379,FALSE
13-325 South Midtown No. 5,13-325,114,3745,511,10,12,3,11,4,424,4,364,592,979,956,0.5219611848825332,0.4330949948927477,0.010214504596527068,0.3807531380753138,0.6192468619246861,FALSE
14-350 North Midtown No. 1,14-350,115,1188,169,4,3,0,4,1,108,0,88,187,289,275,0.5847750865051903,0.3737024221453287,0.01384083044982699,0.32,0.68,FALSE
14-355 North Midtown No. 2,14-355,116,1361,197,11,6,0,8,0,162,3,131,239,387,370,0.5090439276485789,0.4186046511627907,0.028423772609819122,0.35405405405405405,0.6459459459459459,FALSE
14-360 North Midtown No. 3,14-360,117,1098,143,6,7,1,1,0,159,3,119,185,320,304,0.446875,0.496875,0.01875,0.39144736842105265,0.6085526315789473,FALSE
14-365 North Midtown No. 4,14-365,118,3100,228,9,2,0,5,2,198,5,143,268,449,411,0.5077951002227171,0.44097995545657015,0.0200445434298441,0.34793187347931875,0.6520681265206812,FALSE
14-370 North Midtown No. 5,14-370,119,3107,386,10,7,2,6,3,320,2,290,429,736,719,0.5244565217391305,0.43478260869565216,0.01358695652173913,0.40333796940194716,0.5966620305980529,FALSE
14-375 North Midtown No. 6,14-375,120,2194,242,9,2,1,5,7,230,0,197,282,496,479,0.4879032258064516,0.4637096774193548,0.018145161290322582,0.4112734864300626,0.5887265135699373,FALSE
14-380 North Midtown No. 7,14-380,121,2800,530,11,10,1,6,2,298,0,270,575,858,845,0.6177156177156177,0.3473193473193473,0.01282051282051282,0.31952662721893493,0.6804733727810651,FALSE
15-405 Southwest Anchorage No. 1,15-405,122,1882,282,16,6,2,1,3,350,2,330,312,662,642,0.4259818731117825,0.5287009063444109,0.02416918429003021,0.514018691588785,0.48598130841121495,FALSE
15-410 Southwest Anchorage No. 2,15-410,123,2387,330,17,9,1,4,2,415,3,360,403,781,763,0.4225352112676056,0.5313700384122919,0.02176696542893726,0.47182175622542594,0.528178243774574,FALSE
15-415 Southwest Anchorage No. 3,15-415,124,2752,404,18,10,0,5,0,498,2,410,493,937,903,0.4311632870864461,0.5314834578441836,0.0192102454642476,0.4540420819490587,0.5459579180509413,FALSE
15-420 Southwest Anchorage No. 4,15-420,125,2770,361,19,10,2,3,0,421,5,346,425,821,771,0.4397076735688185,0.51278928136419,0.023142509135200974,0.4487678339818418,0.5512321660181583,FALSE
15-425 Southwest Anchorage No. 5,15-425,126,2508,361,7,8,1,7,3,395,0,346,407,782,753,0.4616368286445013,0.5051150895140665,0.008951406649616368,0.4594953519256308,0.5405046480743692,FALSE
15-430 Southwest Anchorage No. 6,15-430,127,3398,470,23,12,1,6,1,653,4,557,584,1170,1141,0.4017094017094017,0.5581196581196581,0.019658119658119658,0.48816827344434705,0.5118317265556529,FALSE
16-450 West Anchorage No. 1,16-450,128,1883,446,5,3,1,9,1,186,2,169,475,653,644,0.6830015313935681,0.28483920367534454,0.007656967840735069,0.26242236024844723,0.7375776397515528,FALSE
16-455 West Anchorage No. 2,16-455,129,2329,429,11,13,3,4,3,329,2,269,489,794,758,0.5403022670025189,0.41435768261964734,0.013853904282115869,0.3548812664907652,0.6451187335092349,FALSE
16-460 West Anchorage No. 3,16-460,130,3419,546,14,14,3,11,3,448,5,379,620,1044,999,0.5229885057471264,0.42911877394636017,0.013409961685823755,0.3793793793793794,0.6206206206206206,FALSE
16-465 West Anchorage No. 4,16-465,131,1969,243,6,6,1,6,0,267,2,215,298,531,513,0.4576271186440678,0.5028248587570622,0.011299435028248588,0.4191033138401559,0.580896686159844,FALSE
16-470 West Anchorage No. 5,16-470,132,2586,398,17,10,1,7,3,466,2,407,464,904,871,0.44026548672566373,0.5154867256637168,0.018805309734513276,0.4672789896670494,0.5327210103329506,FALSE
16-475 West Anchorage No. 6,16-475,133,2049,345,16,6,2,8,0,383,3,340,400,763,740,0.4521625163826999,0.5019659239842726,0.020969855832241154,0.4594594594594595,0.5405405405405406,FALSE
16-480 West Anchorage No. 7,16-480,134,1835,266,13,15,2,5,2,311,1,257,338,615,595,0.432520325203252,0.5056910569105691,0.02113821138211382,0.4319327731092437,0.5680672268907563,FALSE
17-505 Downtown Anchorage No. 1,17-505,135,1793,193,6,7,2,4,0,129,3,105,223,344,328,0.561046511627907,0.375,0.01744186046511628,0.3201219512195122,0.6798780487804879,FALSE
17-510 Downtown Anchorage No. 2,17-510,136,1813,336,11,2,0,4,0,133,4,126,352,490,478,0.6857142857142857,0.2714285714285714,0.022448979591836733,0.26359832635983266,0.7364016736401674,FALSE
17-515 Downtown Anchorage No. 3,17-515,137,1006,212,4,6,1,2,0,113,4,108,229,342,337,0.6198830409356725,0.3304093567251462,0.011695906432748537,0.32047477744807124,0.6795252225519288,FALSE
17-520 Downtown Anchorage No. 4,17-520,138,3017,375,7,5,0,10,1,231,2,212,404,631,616,0.5942947702060222,0.36608557844690964,0.011093502377179081,0.34415584415584416,0.6558441558441559,FALSE
17-525 Downtown Anchorage No. 5,17-525,139,2943,251,11,5,0,7,0,152,5,130,281,431,411,0.5823665893271461,0.35266821345707655,0.025522041763341066,0.31630170316301703,0.683698296836983,FALSE
17-530 Downtown Anchorage No. 6,17-530,140,1883,179,7,1,0,6,0,115,2,109,189,310,298,0.5774193548387097,0.3709677419354839,0.02258064516129032,0.36577181208053694,0.6342281879194631,FALSE
17-535 Downtown Anchorage No. 7,17-535,141,2869,247,12,2,0,5,0,173,6,136,286,445,422,0.5550561797752809,0.3887640449438202,0.02696629213483146,0.3222748815165877,0.6777251184834123,FALSE
18-550 Government Hill,18-550,142,1654,228,10,4,0,4,0,171,0,118,269,417,387,0.5467625899280576,0.41007194244604317,0.023980815347721823,0.3049095607235142,0.6950904392764858,FALSE
18-555 JBER No.1,18-555,143,5851,214,24,11,3,2,3,570,2,383,375,829,758,0.25814234016887816,0.6875753920386007,0.028950542822677925,0.5052770448548812,0.4947229551451187,FALSE
18-556 JBER No.2,18-556,144,1942,78,7,3,0,1,1,147,1,106,103,238,209,0.3277310924369748,0.6176470588235294,0.029411764705882353,0.507177033492823,0.49282296650717705,FALSE
18-560 North Muldoon,18-560,145,1939,158,11,5,0,5,1,164,3,121,219,347,340,0.4553314121037464,0.47262247838616717,0.03170028818443804,0.3558823529411765,0.6441176470588236,FALSE
